SCN,BU,SBU,GRPPC3,PC,GOP,PTF,value
HYPO34,MARK,FIC,IndustrialGoods,StableEarnings,Europe,GreenEnergy,42
HYPO34,MARK,CTY,EnergyUtilities,StableEarnings,DigitalTransformation,AIandRobotics,93
HYPO34,MARK,FIC,MediaEntertainment,LegacyProducts,Europe,EquityDerivatives,43
HYPO34,MARK,CTY,Telecommunications,HighGrowth,DigitalTransformation,PrivateEquity,35
HYPO34,MARK,CTY,HealthcareSolutions,MarketLeader,MiddleEast,GreenEnergy,30
HYPO34,MARK,CTY,FinancialServices,HighGrowth,DigitalTransformation,CommoditiesTrading,57
HYPO34,MARK,CTY,HealthcareSolutions,CashCow,R&DInvestments,EquityDerivatives,48
HYPO34,MARK,CTY,Infrastructure,HighRisk,GlobalExports,EquityDerivatives,4
HYPO34,MARK,FIC,Telecommunications,InnovationDriven,AsiaPacific,RealEstateInvestments,59
HYPO34,MARK,FIC,Telecommunications,EmergingMarkets,GlobalExports,PrivateEquity,67
HYPO34,MARK,MGT,IndustrialGoods,NicheProducts,R&DInvestments,ConsumerRetail,22
HYPO34,MARK,MGT,HealthcareSolutions,LegacyProducts,MiddleEast,FixedIncomeSecurities,30
HYPO34,MARK,FIC,EnergyUtilities,LowRisk,AsiaPacific,FixedIncomeSecurities,20
HYPO34,MARK,EQD,EnergyUtilities,NicheProducts,Europe,GreenEnergy,5
HYPO34,MARK,CTY,MediaEntertainment,StableEarnings,AsiaPacific,Biotechnology,43
HYPO34,MARK,EQD,ConsumerTech,NicheProducts,DigitalTransformation,PrivateEquity,34
HYPO34,MARK,FIC,IndustrialGoods,InnovationDriven,Africa,FixedIncomeSecurities,72
HYPO34,MARK,MGT,Pharmaceuticals,HighRisk,MiddleEast,AIandRobotics,25
HYPO34,MARK,MGT,EnergyUtilities,NicheProducts,R&DInvestments,FixedIncomeSecurities,7
HYPO34,MARK,MGT,EnergyUtilities,NicheProducts,NorthAmerica,VentureCapital,99
HYPO34,MARK,EQD,Pharmaceuticals,EmergingMarkets,LatinAmerica,ConsumerRetail,20
HYPO34,MARK,CTY,Telecommunications,HighRisk,MiddleEast,FixedIncomeSecurities,77
HYPO34,MARK,CTY,Telecommunications,StableEarnings,LatinAmerica,EquityDerivatives,74
HYPO34,MARK,CTY,Automotive,HighRisk,Africa,RealEstateInvestments,51
HYPO34,MARK,CTY,Pharmaceuticals,EmergingMarkets,NorthAmerica,RealEstateInvestments,34
HYPO34,MARK,FIC,Pharmaceuticals,MarketLeader,MiddleEast,AIandRobotics,65
HYPO34,MARK,FIC,FinancialServices,LowRisk,Africa,PrivateEquity,52
HYPO34,MARK,FIC,EnergyUtilities,EmergingMarkets,AsiaPacific,RealEstateInvestments,86
HYPO34,MARK,MGT,Automotive,NicheProducts,NorthAmerica,VentureCapital,61
HYPO34,MARK,EQD,Pharmaceuticals,InnovationDriven,AsiaPacific,CommoditiesTrading,25
HYPO34,MARK,MGT,EnergyUtilities,EmergingMarkets,AsiaPacific,PrivateEquity,2
HYPO34,MARK,MGT,ConsumerTech,LegacyProducts,GlobalExports,VentureCapital,28
HYPO34,MARK,FIC,Pharmaceuticals,LegacyProducts,Europe,GreenEnergy,69
HYPO34,MARK,FIC,ConsumerTech,EmergingMarkets,MiddleEast,Biotechnology,37
HYPO34,MARK,MGT,IndustrialGoods,HighGrowth,SustainabilityInitiatives,PrivateEquity,56
HYPO34,MARK,CTY,Infrastructure,MarketLeader,AsiaPacific,PrivateEquity,1
HYPO34,MARK,FIC,EnergyUtilities,HighGrowth,NorthAmerica,FixedIncomeSecurities,76
HYPO34,MARK,FIC,HealthcareSolutions,HighGrowth,Africa,CommoditiesTrading,49
HYPO34,MARK,MGT,EnergyUtilities,NicheProducts,GlobalExports,AIandRobotics,30
HYPO34,MARK,FIC,Pharmaceuticals,CashCow,LatinAmerica,PrivateEquity,10
HYPO34,MARK,EQD,Automotive,HighRisk,AsiaPacific,RealEstateInvestments,15
HYPO34,MARK,FIC,HealthcareSolutions,StableEarnings,GlobalExports,RealEstateInvestments,78
HYPO34,MARK,CTY,Pharmaceuticals,StableEarnings,GlobalExports,EquityDerivatives,63
HYPO34,MARK,EQD,Pharmaceuticals,HighRisk,Africa,AIandRobotics,55
HYPO34,MARK,EQD,ConsumerTech,LowRisk,LatinAmerica,VentureCapital,91
HYPO34,MARK,MGT,FinancialServices,NicheProducts,SustainabilityInitiatives,CommoditiesTrading,85
HYPO34,MARK,FIC,HealthcareSolutions,MarketLeader,LatinAmerica,FixedIncomeSecurities,73
HYPO34,MARK,MGT,MediaEntertainment,HighGrowth,DigitalTransformation,ConsumerRetail,51
HYPO34,MARK,EQD,MediaEntertainment,MarketLeader,Africa,GreenEnergy,21
HYPO34,MARK,MGT,Telecommunications,NicheProducts,AsiaPacific,PrivateEquity,19
HYPO34,MARK,MGT,IndustrialGoods,HighGrowth,GlobalExports,FixedIncomeSecurities,9
HYPO34,MARK,EQD,HealthcareSolutions,LegacyProducts,DigitalTransformation,FixedIncomeSecurities,92
HYPO34,MARK,CTY,FinancialServices,MarketLeader,SustainabilityInitiatives,ConsumerRetail,28
HYPO34,MARK,FIC,ConsumerTech,StableEarnings,Europe,Biotechnology,33
HYPO34,MARK,CTY,FinancialServices,NicheProducts,AsiaPacific,VentureCapital,19
HYPO34,MARK,CTY,EnergyUtilities,HighGrowth,AsiaPacific,RealEstateInvestments,8
HYPO34,MARK,CTY,EnergyUtilities,EmergingMarkets,MiddleEast,VentureCapital,83
HYPO34,MARK,EQD,Telecommunications,LegacyProducts,LatinAmerica,PrivateEquity,12
HYPO34,MARK,MGT,HealthcareSolutions,LowRisk,AsiaPacific,FixedIncomeSecurities,68
HYPO34,MARK,CTY,ConsumerTech,HighGrowth,Africa,PrivateEquity,79
HYPO34,MARK,MGT,IndustrialGoods,MarketLeader,NorthAmerica,GreenEnergy,61
HYPO34,MARK,MGT,Automotive,StableEarnings,R&DInvestments,AIandRobotics,35
HYPO34,MARK,CTY,Automotive,EmergingMarkets,NorthAmerica,RealEstateInvestments,33
HYPO34,MARK,MGT,Telecommunications,MarketLeader,DigitalTransformation,PrivateEquity,18
HYPO34,MARK,EQD,IndustrialGoods,NicheProducts,SustainabilityInitiatives,CommoditiesTrading,4
HYPO34,MARK,CTY,MediaEntertainment,LowRisk,Africa,PrivateEquity,75
HYPO34,MARK,EQD,ConsumerTech,InnovationDriven,DigitalTransformation,EquityDerivatives,60
HYPO34,MARK,FIC,IndustrialGoods,MarketLeader,AsiaPacific,PrivateEquity,20
HYPO34,MARK,CTY,ConsumerTech,LowRisk,R&DInvestments,CommoditiesTrading,16
HYPO34,MARK,EQD,HealthcareSolutions,NicheProducts,LatinAmerica,GreenEnergy,8
HYPO34,MARK,CTY,EnergyUtilities,NicheProducts,MiddleEast,ConsumerRetail,24
HYPO34,MARK,FIC,EnergyUtilities,HighGrowth,Africa,ConsumerRetail,23
HYPO34,MARK,EQD,HealthcareSolutions,LowRisk,Africa,RealEstateInvestments,23
HYPO34,MARK,CTY,ConsumerTech,MarketLeader,Europe,AIandRobotics,64
HYPO34,MARK,EQD,Infrastructure,MarketLeader,NorthAmerica,AIandRobotics,82
HYPO34,MARK,EQD,IndustrialGoods,EmergingMarkets,SustainabilityInitiatives,VentureCapital,25
HYPO34,MARK,CTY,ConsumerTech,NicheProducts,SustainabilityInitiatives,FixedIncomeSecurities,46
HYPO34,MARK,CTY,IndustrialGoods,StableEarnings,MiddleEast,ConsumerRetail,70
HYPO34,MARK,EQD,Pharmaceuticals,InnovationDriven,SustainabilityInitiatives,VentureCapital,6
HYPO34,MARK,EQD,Telecommunications,LowRisk,AsiaPacific,VentureCapital,70
HYPO34,MARK,EQD,MediaEntertainment,MarketLeader,MiddleEast,CommoditiesTrading,46
HYPO34,MARK,MGT,EnergyUtilities,HighGrowth,R&DInvestments,RealEstateInvestments,83
HYPO34,MARK,EQD,Automotive,CashCow,LatinAmerica,ConsumerRetail,66
HYPO34,MARK,FIC,Infrastructure,MarketLeader,R&DInvestments,CommoditiesTrading,3
HYPO34,MARK,CTY,MediaEntertainment,HighRisk,Europe,GreenEnergy,42
HYPO34,MARK,EQD,Pharmaceuticals,MarketLeader,Europe,GreenEnergy,35
HYPO34,MARK,FIC,FinancialServices,MarketLeader,NorthAmerica,PrivateEquity,81
HYPO34,MARK,EQD,Infrastructure,LowRisk,GlobalExports,CommoditiesTrading,84
HYPO34,MARK,EQD,Pharmaceuticals,EmergingMarkets,AsiaPacific,GreenEnergy,99
HYPO34,MARK,FIC,FinancialServices,LowRisk,NorthAmerica,PrivateEquity,87
HYPO34,MARK,CTY,IndustrialGoods,InnovationDriven,SustainabilityInitiatives,FixedIncomeSecurities,2
HYPO34,MARK,MGT,EnergyUtilities,EmergingMarkets,GlobalExports,Biotechnology,94
HYPO34,MARK,CTY,MediaEntertainment,HighRisk,GlobalExports,AIandRobotics,32
HYPO34,MARK,CTY,FinancialServices,LowRisk,GlobalExports,ConsumerRetail,52
HYPO34,MARK,FIC,Pharmaceuticals,InnovationDriven,DigitalTransformation,AIandRobotics,75
HYPO34,MARK,EQD,FinancialServices,HighGrowth,DigitalTransformation,RealEstateInvestments,28
HYPO34,MARK,MGT,ConsumerTech,HighRisk,MiddleEast,EquityDerivatives,83
HYPO34,MARK,MGT,HealthcareSolutions,EmergingMarkets,Africa,EquityDerivatives,13
HYPO34,MARK,EQD,Telecommunications,CashCow,LatinAmerica,AIandRobotics,3
HYPO34,MARK,CTY,HealthcareSolutions,HighGrowth,LatinAmerica,Biotechnology,64
HYPO34,MARK,EQD,Infrastructure,MarketLeader,LatinAmerica,EquityDerivatives,84
HYPO34,MARK,EQD,ConsumerTech,MarketLeader,SustainabilityInitiatives,PrivateEquity,75
HYPO34,MARK,MGT,Infrastructure,EmergingMarkets,DigitalTransformation,EquityDerivatives,5
HYPO34,MARK,MGT,IndustrialGoods,CashCow,LatinAmerica,Biotechnology,99
HYPO34,MARK,CTY,Telecommunications,CashCow,DigitalTransformation,CommoditiesTrading,86
HYPO34,MARK,MGT,ConsumerTech,StableEarnings,NorthAmerica,EquityDerivatives,84
HYPO34,MARK,EQD,Automotive,InnovationDriven,GlobalExports,ConsumerRetail,22
HYPO34,MARK,FIC,HealthcareSolutions,MarketLeader,DigitalTransformation,VentureCapital,53
HYPO34,MARK,EQD,IndustrialGoods,InnovationDriven,NorthAmerica,AIandRobotics,41
HYPO34,MARK,MGT,Automotive,HighRisk,MiddleEast,Biotechnology,53
HYPO34,MARK,EQD,ConsumerTech,NicheProducts,SustainabilityInitiatives,PrivateEquity,10
HYPO34,MARK,EQD,Automotive,MarketLeader,Africa,AIandRobotics,94
HYPO34,MARK,EQD,HealthcareSolutions,HighRisk,DigitalTransformation,CommoditiesTrading,62
HYPO34,MARK,EQD,FinancialServices,NicheProducts,R&DInvestments,Biotechnology,34
HYPO34,MARK,MGT,ConsumerTech,LegacyProducts,Europe,CommoditiesTrading,56
HYPO34,MARK,EQD,FinancialServices,CashCow,LatinAmerica,ConsumerRetail,59
HYPO34,MARK,MGT,FinancialServices,StableEarnings,MiddleEast,VentureCapital,26
HYPO34,MARK,EQD,Pharmaceuticals,StableEarnings,AsiaPacific,AIandRobotics,30
HYPO34,MARK,EQD,EnergyUtilities,HighRisk,Africa,AIandRobotics,63
HYPO34,MARK,FIC,FinancialServices,MarketLeader,R&DInvestments,EquityDerivatives,56
HYPO34,MARK,FIC,IndustrialGoods,LowRisk,R&DInvestments,RealEstateInvestments,11
HYPO34,MARK,MGT,FinancialServices,LegacyProducts,DigitalTransformation,RealEstateInvestments,45
HYPO34,MARK,MGT,MediaEntertainment,StableEarnings,DigitalTransformation,Biotechnology,83
HYPO34,MARK,EQD,Telecommunications,HighGrowth,MiddleEast,ConsumerRetail,42
HYPO34,MARK,MGT,EnergyUtilities,LegacyProducts,GlobalExports,EquityDerivatives,38
HYPO34,MARK,FIC,IndustrialGoods,InnovationDriven,GlobalExports,EquityDerivatives,13
HYPO34,MARK,CTY,EnergyUtilities,InnovationDriven,R&DInvestments,PrivateEquity,41
HYPO34,MARK,MGT,FinancialServices,MarketLeader,SustainabilityInitiatives,VentureCapital,90
HYPO34,MARK,EQD,IndustrialGoods,NicheProducts,NorthAmerica,Biotechnology,42
HYPO34,MARK,FIC,IndustrialGoods,HighRisk,GlobalExports,RealEstateInvestments,88
HYPO34,MARK,MGT,MediaEntertainment,CashCow,R&DInvestments,CommoditiesTrading,53
HYPO34,MARK,FIC,Automotive,InnovationDriven,R&DInvestments,EquityDerivatives,47
HYPO34,MARK,CTY,Automotive,MarketLeader,SustainabilityInitiatives,FixedIncomeSecurities,49
HYPO34,MARK,CTY,Pharmaceuticals,HighGrowth,GlobalExports,VentureCapital,32
HYPO34,MARK,EQD,Infrastructure,LowRisk,NorthAmerica,AIandRobotics,23
HYPO34,MARK,FIC,FinancialServices,HighRisk,GlobalExports,EquityDerivatives,72
HYPO34,MARK,CTY,EnergyUtilities,CashCow,NorthAmerica,VentureCapital,64
HYPO34,MARK,FIC,HealthcareSolutions,LegacyProducts,R&DInvestments,VentureCapital,86
HYPO34,MARK,CTY,Automotive,HighRisk,Europe,GreenEnergy,43
HYPO34,MARK,FIC,HealthcareSolutions,HighGrowth,DigitalTransformation,Biotechnology,62
HYPO34,MARK,FIC,MediaEntertainment,CashCow,MiddleEast,VentureCapital,6
HYPO34,MARK,EQD,ConsumerTech,MarketLeader,NorthAmerica,ConsumerRetail,35
HYPO34,MARK,FIC,Infrastructure,HighGrowth,AsiaPacific,EquityDerivatives,2
HYPO34,MARK,CTY,ConsumerTech,StableEarnings,Europe,Biotechnology,38
HYPO34,MARK,CTY,ConsumerTech,NicheProducts,MiddleEast,GreenEnergy,57
HYPO34,MARK,FIC,Telecommunications,StableEarnings,DigitalTransformation,FixedIncomeSecurities,58
HYPO34,MARK,MGT,ConsumerTech,InnovationDriven,MiddleEast,CommoditiesTrading,40
HYPO34,MARK,CTY,FinancialServices,HighRisk,LatinAmerica,FixedIncomeSecurities,33
HYPO34,MARK,EQD,Telecommunications,EmergingMarkets,Africa,AIandRobotics,56
HYPO34,MARK,FIC,Pharmaceuticals,InnovationDriven,Europe,RealEstateInvestments,6
HYPO34,MARK,CTY,FinancialServices,InnovationDriven,Africa,PrivateEquity,62
HYPO34,MARK,CTY,Telecommunications,StableEarnings,SustainabilityInitiatives,AIandRobotics,46
HYPO34,MARK,MGT,FinancialServices,HighGrowth,NorthAmerica,FixedIncomeSecurities,67
HYPO34,MARK,MGT,EnergyUtilities,LowRisk,MiddleEast,VentureCapital,96
HYPO34,MARK,MGT,FinancialServices,HighRisk,Europe,FixedIncomeSecurities,55
HYPO34,MARK,EQD,EnergyUtilities,HighGrowth,SustainabilityInitiatives,VentureCapital,60
HYPO34,MARK,MGT,Infrastructure,HighGrowth,SustainabilityInitiatives,FixedIncomeSecurities,5
HYPO34,MARK,EQD,MediaEntertainment,CashCow,Europe,VentureCapital,37
HYPO34,MARK,EQD,Infrastructure,CashCow,LatinAmerica,RealEstateInvestments,82
HYPO34,MARK,EQD,Automotive,InnovationDriven,Africa,CommoditiesTrading,85
HYPO34,MARK,CTY,MediaEntertainment,LegacyProducts,GlobalExports,EquityDerivatives,59
HYPO34,MARK,FIC,FinancialServices,StableEarnings,DigitalTransformation,CommoditiesTrading,75
HYPO34,MARK,MGT,ConsumerTech,StableEarnings,AsiaPacific,CommoditiesTrading,49
HYPO34,MARK,CTY,Pharmaceuticals,CashCow,SustainabilityInitiatives,FixedIncomeSecurities,80
HYPO34,MARK,EQD,Pharmaceuticals,CashCow,R&DInvestments,RealEstateInvestments,86
HYPO34,MARK,CTY,FinancialServices,HighRisk,LatinAmerica,PrivateEquity,32
HYPO34,MARK,CTY,Pharmaceuticals,MarketLeader,SustainabilityInitiatives,GreenEnergy,82
HYPO34,MARK,EQD,Infrastructure,LowRisk,Europe,AIandRobotics,74
HYPO34,MARK,FIC,Infrastructure,InnovationDriven,SustainabilityInitiatives,AIandRobotics,7
HYPO34,MARK,MGT,ConsumerTech,CashCow,DigitalTransformation,ConsumerRetail,14
HYPO34,MARK,FIC,HealthcareSolutions,NicheProducts,SustainabilityInitiatives,AIandRobotics,66
HYPO34,MARK,FIC,HealthcareSolutions,HighGrowth,MiddleEast,Biotechnology,63
HYPO34,MARK,FIC,Pharmaceuticals,NicheProducts,Africa,ConsumerRetail,97
HYPO34,MARK,MGT,Infrastructure,StableEarnings,AsiaPacific,EquityDerivatives,61
HYPO34,MARK,CTY,Pharmaceuticals,InnovationDriven,R&DInvestments,VentureCapital,49
HYPO34,MARK,EQD,Pharmaceuticals,NicheProducts,MiddleEast,Biotechnology,29
HYPO34,MARK,EQD,MediaEntertainment,HighRisk,GlobalExports,PrivateEquity,57
HYPO34,MARK,EQD,FinancialServices,StableEarnings,LatinAmerica,VentureCapital,79
HYPO34,MARK,MGT,Automotive,LegacyProducts,DigitalTransformation,CommoditiesTrading,9
HYPO34,MARK,MGT,Infrastructure,HighGrowth,Africa,AIandRobotics,26
HYPO34,MARK,MGT,ConsumerTech,EmergingMarkets,MiddleEast,PrivateEquity,30
HYPO34,MARK,MGT,IndustrialGoods,CashCow,R&DInvestments,ConsumerRetail,18
HYPO34,MARK,EQD,Automotive,NicheProducts,Africa,CommoditiesTrading,43
HYPO34,MARK,MGT,IndustrialGoods,LegacyProducts,AsiaPacific,EquityDerivatives,33
HYPO34,MARK,CTY,HealthcareSolutions,HighRisk,R&DInvestments,FixedIncomeSecurities,72
HYPO34,MARK,EQD,EnergyUtilities,LowRisk,DigitalTransformation,FixedIncomeSecurities,54
HYPO34,MARK,EQD,Automotive,HighGrowth,SustainabilityInitiatives,FixedIncomeSecurities,92
HYPO34,MARK,CTY,ConsumerTech,NicheProducts,NorthAmerica,VentureCapital,44
HYPO34,MARK,EQD,Telecommunications,NicheProducts,Africa,CommoditiesTrading,99
HYPO34,MARK,MGT,Telecommunications,NicheProducts,NorthAmerica,EquityDerivatives,58
HYPO34,MARK,MGT,Telecommunications,HighRisk,SustainabilityInitiatives,Biotechnology,79
HYPO34,MARK,MGT,IndustrialGoods,StableEarnings,GlobalExports,RealEstateInvestments,80
HYPO34,MARK,EQD,MediaEntertainment,LegacyProducts,NorthAmerica,GreenEnergy,58
HYPO34,MARK,EQD,ConsumerTech,MarketLeader,LatinAmerica,PrivateEquity,24
HYPO34,MARK,EQD,EnergyUtilities,HighRisk,AsiaPacific,GreenEnergy,15
HYPO34,MARK,MGT,FinancialServices,CashCow,DigitalTransformation,GreenEnergy,66
HYPO34,MARK,CTY,HealthcareSolutions,NicheProducts,SustainabilityInitiatives,Biotechnology,55
HYPO34,MARK,FIC,Telecommunications,StableEarnings,AsiaPacific,VentureCapital,95
HYPO34,MARK,CTY,Automotive,NicheProducts,MiddleEast,FixedIncomeSecurities,69
HYPO34,MARK,CTY,Infrastructure,StableEarnings,SustainabilityInitiatives,Biotechnology,2
HYPO34,MARK,FIC,Pharmaceuticals,MarketLeader,AsiaPacific,ConsumerRetail,50
HYPO34,MARK,FIC,IndustrialGoods,CashCow,GlobalExports,GreenEnergy,56
HYPO34,MARK,MGT,MediaEntertainment,EmergingMarkets,Africa,RealEstateInvestments,29
HYPO34,MARK,CTY,FinancialServices,EmergingMarkets,MiddleEast,PrivateEquity,81
HYPO34,MARK,EQD,EnergyUtilities,EmergingMarkets,DigitalTransformation,RealEstateInvestments,70
HYPO34,MARK,CTY,FinancialServices,HighGrowth,Africa,RealEstateInvestments,99
HYPO34,MARK,FIC,Infrastructure,NicheProducts,LatinAmerica,RealEstateInvestments,57
HYPO34,MARK,MGT,ConsumerTech,CashCow,LatinAmerica,FixedIncomeSecurities,77
HYPO34,MARK,FIC,Pharmaceuticals,LowRisk,DigitalTransformation,PrivateEquity,87
HYPO34,MARK,MGT,MediaEntertainment,HighRisk,SustainabilityInitiatives,Biotechnology,1
HYPO34,MARK,MGT,Infrastructure,MarketLeader,GlobalExports,FixedIncomeSecurities,40
HYPO34,MARK,MGT,Telecommunications,LowRisk,MiddleEast,ConsumerRetail,99
HYPO34,MARK,CTY,ConsumerTech,LowRisk,Europe,CommoditiesTrading,79
HYPO34,MARK,MGT,IndustrialGoods,LegacyProducts,NorthAmerica,ConsumerRetail,71
HYPO34,MARK,CTY,FinancialServices,MarketLeader,R&DInvestments,EquityDerivatives,81
HYPO34,MARK,EQD,Telecommunications,StableEarnings,Africa,RealEstateInvestments,19
HYPO34,MARK,EQD,Automotive,HighGrowth,LatinAmerica,ConsumerRetail,22
HYPO34,MARK,MGT,HealthcareSolutions,InnovationDriven,Europe,FixedIncomeSecurities,47
HYPO34,MARK,MGT,EnergyUtilities,MarketLeader,DigitalTransformation,Biotechnology,71
HYPO34,MARK,FIC,Infrastructure,HighRisk,DigitalTransformation,VentureCapital,41
HYPO34,MARK,MGT,Infrastructure,MarketLeader,SustainabilityInitiatives,ConsumerRetail,25
HYPO34,MARK,MGT,MediaEntertainment,MarketLeader,MiddleEast,AIandRobotics,65
HYPO34,MARK,MGT,HealthcareSolutions,CashCow,SustainabilityInitiatives,EquityDerivatives,4
HYPO34,MARK,EQD,EnergyUtilities,HighGrowth,LatinAmerica,ConsumerRetail,47
HYPO34,MARK,CTY,Automotive,LowRisk,AsiaPacific,AIandRobotics,59
HYPO34,MARK,MGT,HealthcareSolutions,InnovationDriven,GlobalExports,RealEstateInvestments,77
HYPO34,MARK,CTY,ConsumerTech,NicheProducts,DigitalTransformation,VentureCapital,37
HYPO34,MARK,FIC,Telecommunications,EmergingMarkets,DigitalTransformation,ConsumerRetail,10
HYPO34,MARK,EQD,Automotive,CashCow,MiddleEast,Biotechnology,68
HYPO34,MARK,FIC,Telecommunications,CashCow,R&DInvestments,Biotechnology,95
HYPO34,MARK,CTY,Telecommunications,NicheProducts,MiddleEast,Biotechnology,31
HYPO34,MARK,FIC,FinancialServices,MarketLeader,Europe,Biotechnology,2
HYPO34,MARK,MGT,MediaEntertainment,HighRisk,NorthAmerica,PrivateEquity,37
HYPO34,MARK,EQD,FinancialServices,HighRisk,DigitalTransformation,Biotechnology,57
HYPO34,MARK,CTY,HealthcareSolutions,MarketLeader,DigitalTransformation,Biotechnology,80
HYPO34,MARK,MGT,Pharmaceuticals,EmergingMarkets,GlobalExports,Biotechnology,73
HYPO34,MARK,EQD,ConsumerTech,CashCow,NorthAmerica,Biotechnology,51
HYPO34,MARK,MGT,ConsumerTech,CashCow,AsiaPacific,RealEstateInvestments,97
HYPO34,MARK,EQD,HealthcareSolutions,EmergingMarkets,AsiaPacific,ConsumerRetail,79
HYPO34,MARK,MGT,Telecommunications,CashCow,NorthAmerica,RealEstateInvestments,11
HYPO34,MARK,FIC,Automotive,LowRisk,MiddleEast,RealEstateInvestments,91
HYPO34,MARK,EQD,Infrastructure,LowRisk,NorthAmerica,VentureCapital,52
HYPO34,MARK,FIC,ConsumerTech,MarketLeader,MiddleEast,CommoditiesTrading,72
HYPO34,MARK,EQD,Pharmaceuticals,HighGrowth,Europe,ConsumerRetail,18
HYPO34,MARK,FIC,ConsumerTech,NicheProducts,Europe,RealEstateInvestments,93
HYPO34,MARK,FIC,EnergyUtilities,HighGrowth,DigitalTransformation,FixedIncomeSecurities,76
HYPO34,MARK,CTY,IndustrialGoods,LegacyProducts,LatinAmerica,Biotechnology,47
HYPO34,MARK,FIC,FinancialServices,LowRisk,R&DInvestments,Biotechnology,44
